fips_code,State_name,County.x,report_date,cases_per_100K_7_day_count_change,percent_uninsured_2019,poverty_rate_2019,percent_uninsured_2019_US_avg,poverty_rate_2019_US_avg,total_population_2019,Percentile_Covid,Date,StateName,StateAbbr,County.y,Series_Complete_12PlusPop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Percentile_Vax,US_Series_Complete_12PlusPop_Pct_Natl_Avg
12079,Florida,Madison County,2022-01-15,2308.98,13.1,28.2,9.2,10.5,18493,0.06851448146994706,2022-01-15,Florida,FL,Madison County,50.4,59.9,0.3198237885462555,71.8
12086,Florida,Miami-Dade County,2022-01-15,3434.78,18.1,18,9.2,10.5,2716940,0.014014325755216444,2022-01-15,Florida,FL,Miami-Dade County,92.9,95,0.9183553597650514,71.8
12087,Florida,Monroe County,2022-01-15,2217.49,17.8,11.8,9.2,10.5,74228,0.08034880099657428,2022-01-15,Florida,FL,Monroe County,83.4,95,0.8966226138032305,71.8
12095,Florida,Orange County,2022-01-15,2206.89,14.5,16.1,9.2,10.5,1393452,0.08315166614761757,2022-01-15,Florida,FL,Orange County,75.9,89.4,0.8428781204111601,71.8
12097,Florida,Osceola County,2022-01-15,2369.92,15.8,16.3,9.2,10.5,375751,0.05979445655559016,2022-01-15,Florida,FL,Osceola County,80.7,95,0.879295154185022,71.8
13013,Georgia,Barrow County,2022-01-15,2188.85,14.9,12.1,9.2,10.5,83240,0.0884459669884771,2022-01-15,Georgia,GA,Barrow County,26.4,NA,0.028193832599118944,71.8
13051,Georgia,Chatham County,2022-01-15,2205.37,14.5,15.8,9.2,10.5,289430,0.08408595453129866,2022-01-15,Georgia,GA,Chatham County,53.7,60.8,0.41527165932452276,71.8
13061,Georgia,Clay County,2022-01-15,2399.44,23.6,41.1,9.2,10.5,2834,0.05761445032700093,2022-01-15,Georgia,GA,Clay County,49.9,58,0.30895741556534506,71.8
13157,Georgia,Jackson County,2022-01-15,2215.77,12,11,9.2,10.5,72977,0.08097165991902834,2022-01-15,Georgia,GA,Jackson County,32.2,34.1,0.0461086637298091,71.8
13175,Georgia,Laurens County,2022-01-15,2517.56,11.2,26.7,9.2,10.5,47546,0.04328869511055746,2022-01-15,Georgia,GA,Laurens County,32.5,37.4,0.04787077826725404,71.8
13239,Georgia,Quitman County,2022-01-15,2740.32,21.8,22.7,9.2,10.5,2299,0.029585798816568046,2022-01-15,Georgia,GA,Quitman County,15.6,19,0.0026431718061674008,71.8
13249,Georgia,Schley County,2022-01-15,2529.96,16.7,21.3,9.2,10.5,5257,0.04142011834319527,2022-01-15,Georgia,GA,Schley County,24.9,NA,0.02408223201174743,71.8
13259,Georgia,Stewart County,2022-01-15,2325.93,16.4,37,9.2,10.5,6621,0.06633447524135783,2022-01-15,Georgia,GA,Stewart County,23.1,25.4,0.01908957415565345,71.8
13269,Georgia,Taylor County,2022-01-15,2269.33,19,26.3,9.2,10.5,8020,0.07349735284957958,2022-01-15,Georgia,GA,Taylor County,35.5,NA,0.05961820851688693,71.8
13273,Georgia,Terrell County,2022-01-15,2414.72,18.3,31.9,9.2,10.5,8531,0.05574587355963874,2022-01-15,Georgia,GA,Terrell County,36.2,NA,0.06372980910425845,71.8
13287,Georgia,Turner County,2022-01-15,2742.64,15,35.3,9.2,10.5,7985,0.029274369355341015,2022-01-15,Georgia,GA,Turner County,29.4,NA,0.03788546255506608,71.8
13313,Georgia,Whitfield County,2022-01-15,2563.37,17.5,17.8,9.2,10.5,104628,0.03892868265337901,2022-01-15,Georgia,GA,Whitfield County,30.1,NA,0.0408223201174743,71.8
17001,Illinois,Adams County,2022-01-15,2177.73,4.7,12.1,9.2,10.5,65435,0.09218312052320149,2022-01-15,Illinois,IL,Adams County,59.4,64.5,0.5629955947136563,71.8
17013,Illinois,Calhoun County,2022-01-15,3355.14,2.9,12.8,9.2,10.5,4739,0.014637184677670508,2022-01-15,Illinois,IL,Calhoun County,50.3,55.5,0.3180616740088106,71.8
17017,Illinois,Cass County,2022-01-15,3013.09,7.1,13.5,9.2,10.5,12147,0.022111491747119277,2022-01-15,Illinois,IL,Cass County,67.6,73.2,0.747136563876652,71.8
17019,Illinois,Champaign County,2022-01-15,2418.34,4.8,20.9,9.2,10.5,209689,0.05512301463718468,2022-01-15,Illinois,IL,Champaign County,68.2,75.9,0.7538913362701909,71.8
17021,Illinois,Christian County,2022-01-15,2909.86,4.9,13,9.2,10.5,32304,0.023357209592027407,2022-01-15,Illinois,IL,Christian County,52.4,58.8,0.3765051395007342,71.8
17027,Illinois,Clinton County,2022-01-15,2728.82,4.8,9,9.2,10.5,37562,0.02989722827779508,2022-01-15,Illinois,IL,Clinton County,62.7,68.4,0.6469897209985316,71.8
17029,Illinois,Coles County,2022-01-15,2854.55,6.3,21.5,9.2,10.5,50621,0.026471504204297728,2022-01-15,Illinois,IL,Coles County,49,53.5,0.28810572687224667,71.8
17039,Illinois,De Witt County,2022-01-15,2231.74,4.8,11,9.2,10.5,15638,0.07692307692307693,2022-01-15,Illinois,IL,De Witt County,57.9,62.3,0.5218795888399412,71.8
17041,Illinois,Douglas County,2022-01-15,2794.76,14.5,11.2,9.2,10.5,19465,0.027405792587978824,2022-01-15,Illinois,IL,Douglas County,53.9,58.9,0.42143906020558003,71.8
17045,Illinois,Edgar County,2022-01-15,2208.5,5.5,12.3,9.2,10.5,17161,0.0825288072251635,2022-01-15,Illinois,IL,Edgar County,52.6,59.1,0.3794419970631424,71.8
17053,Illinois,Ford County,2022-01-15,2191.19,6.3,15.8,9.2,10.5,12961,0.08813453752725008,2022-01-15,Illinois,IL,Ford County,62.3,66.8,0.6375917767988253,71.8
17057,Illinois,Fulton County,2022-01-15,2326.73,6.1,16.5,9.2,10.5,34340,0.06571161631890376,2022-01-15,Illinois,IL,Fulton County,61.9,66.9,0.6279001468428781,71.8
17061,Illinois,Greene County,2022-01-15,2351.76,6.4,14.4,9.2,10.5,12969,0.06228589224540641,2022-01-15,Illinois,IL,Greene County,44.7,47.6,0.18120411160058736,71.8
17077,Illinois,Jackson County,2022-01-15,2250.22,7.4,27.5,9.2,10.5,56750,0.07505450015571473,2022-01-15,Illinois,IL,Jackson County,55.9,62.1,0.47577092511013214,71.8
17083,Illinois,Jersey County,2022-01-15,2333.16,5.3,9.2,9.2,10.5,21773,0.06446589847399564,2022-01-15,Illinois,IL,Jersey County,60.6,65.2,0.593245227606461,71.8
17099,Illinois,LaSalle County,2022-01-15,2482.77,4.9,13.5,9.2,10.5,108669,0.04796013702896294,2022-01-15,Illinois,IL,LaSalle County,63.1,69.5,0.6581497797356828,71.8
17105,Illinois,Livingston County,2022-01-15,2684.58,5.1,13.8,9.2,10.5,35648,0.031765805045157275,2022-01-15,Illinois,IL,Livingston County,56.2,61.5,0.484287812041116,71.8
17107,Illinois,Logan County,2022-01-15,3385.98,5,8.5,9.2,10.5,28618,0.014325755216443475,2022-01-15,Illinois,IL,Logan County,59.1,63.8,0.5530102790014684,71.8
17115,Illinois,Macon County,2022-01-15,2518.05,4.9,16.2,9.2,10.5,104009,0.04266583618810339,2022-01-15,Illinois,IL,Macon County,58.7,64.1,0.5430249632892805,71.8
17117,Illinois,Macoupin County,2022-01-15,2490.76,4.4,13.4,9.2,10.5,44926,0.047648707567735905,2022-01-15,Illinois,IL,Macoupin County,59.9,65.5,0.5750367107195301,71.8
17113,Illinois,McLean County,2022-01-15,2898.25,3.8,14.6,9.2,10.5,171517,0.024291497975708502,2022-01-15,Illinois,IL,McLean County,68.3,74.7,0.755359765051395,71.8
17129,Illinois,Menard County,2022-01-15,2459.82,2.4,9.6,9.2,10.5,12196,0.050451572718779196,2022-01-15,Illinois,IL,Menard County,62.3,67.3,0.6375917767988253,71.8
17133,Illinois,Monroe County,2022-01-15,2480.01,2.9,5,9.2,10.5,34637,0.048582995951417005,2022-01-15,Illinois,IL,Monroe County,66.8,73.7,0.7312775330396476,71.8
17135,Illinois,Montgomery County,2022-01-15,3216.72,4.1,15.9,9.2,10.5,28414,0.01806290875116786,2022-01-15,Illinois,IL,Montgomery County,56.1,62.1,0.48223201174743024,71.8
17137,Illinois,Morgan County,2022-01-15,2397.65,4.2,14.6,9.2,10.5,33658,0.05792587978822797,2022-01-15,Illinois,IL,Morgan County,59.1,64.4,0.5530102790014684,71.8
17149,Illinois,Pike County,2022-01-15,2152.82,5,13.9,9.2,10.5,15561,0.09934599813142324,2022-01-15,Illinois,IL,Pike County,45.8,50,0.20675477239353893,71.8
17159,Illinois,Richland County,2022-01-15,2378.65,4.5,15,9.2,10.5,15513,0.05948302709436313,2022-01-15,Illinois,IL,Richland County,52.6,56.4,0.3794419970631424,71.8
17165,Illinois,Saline County,2022-01-15,2520.11,5.1,22.2,9.2,10.5,23491,0.04235440672687636,2022-01-15,Illinois,IL,Saline County,53,59,0.39118942731277534,71.8
17167,Illinois,Sangamon County,2022-01-15,2788.28,4.2,15.2,9.2,10.5,194672,0.027717222049205854,2022-01-15,Illinois,IL,Sangamon County,70.7,77.4,0.786784140969163,71.8
17169,Illinois,Schuyler County,2022-01-15,2556.15,13.9,21.4,9.2,10.5,6768,0.03955154157583307,2022-01-15,Illinois,IL,Schuyler County,54.8,57.7,0.44698972099853157,71.8
17183,Illinois,Vermilion County,2022-01-15,3035.98,6.1,19.6,9.2,10.5,75758,0.02148863282466521,2022-01-15,Illinois,IL,Vermilion County,51.3,56.9,0.34419970631424374,71.8
17185,Illinois,Wabash County,2022-01-15,2534.72,6.2,11.8,9.2,10.5,11520,0.04110868888196823,2022-01-15,Illinois,IL,Wabash County,53.3,59.3,0.4011747430249633,71.8
17199,Illinois,Williamson County,2022-01-15,2220.82,5.7,15,9.2,10.5,66597,0.07972594207412022,2022-01-15,Illinois,IL,Williamson County,61,67.2,0.6038179148311307,71.8
18163,Indiana,Vanderburgh County,2022-01-15,2160.36,8.2,17.3,9.2,10.5,181451,0.09623170351915292,2022-01-15,Indiana,IN,Vanderburgh County,64,69.8,0.6763582966226138,71.8
20003,Kansas,Anderson County,2022-01-15,2214.3,9.5,13.9,9.2,10.5,7858,0.08128308938025537,2022-01-15,Kansas,KS,Anderson County,49.2,55.4,0.29309838472834066,71.8
20011,Kansas,Bourbon County,2022-01-15,2476.95,10.7,16.6,9.2,10.5,14534,0.048894425412644035,2022-01-15,Kansas,KS,Bourbon County,42.2,47.3,0.13450807635829662,71.8
20015,Kansas,Butler County,2022-01-15,2146.13,8.2,10.5,9.2,10.5,66911,0.0999688570538773,2022-01-15,Kansas,KS,Butler County,53.4,61.8,0.4041116005873715,71.8
20035,Kansas,Cowley County,2022-01-15,2506.59,9.7,15.2,9.2,10.5,34908,0.046091560261600745,2022-01-15,Kansas,KS,Cowley County,53.5,61.2,0.4073421439060206,71.8
20037,Kansas,Crawford County,2022-01-15,2411.25,10.9,20.9,9.2,10.5,38818,0.05636873248209281,2022-01-15,Kansas,KS,Crawford County,52.3,59,0.3723935389133627,71.8
20057,Kansas,Ford County,2022-01-15,2198.16,14,14.4,9.2,10.5,33619,0.08564310183743382,2022-01-15,Kansas,KS,Ford County,51.8,60.7,0.36005873715124814,71.8
20059,Kansas,Franklin County,2022-01-15,2168.81,7.1,10.3,9.2,10.5,25544,0.09498598567424478,2022-01-15,Kansas,KS,Franklin County,56.9,65.2,0.4986784140969163,71.8
20061,Kansas,Geary County,2022-01-15,2642.88,6.7,12.2,9.2,10.5,31670,0.03456867019620056,2022-01-15,Kansas,KS,Geary County,82.1,95,0.8863436123348017,71.8
20073,Kansas,Greenwood County,2022-01-15,2507.52,8.4,12.2,9.2,10.5,5982,0.04515727187791965,2022-01-15,Kansas,KS,Greenwood County,55.1,59.8,0.45433186490455213,71.8
20083,Kansas,Hodgeman County,2022-01-15,2285.4,9.6,11.6,9.2,10.5,1794,0.07038305823730925,2022-01-15,Kansas,KS,Hodgeman County,51.2,56.4,0.3403817914831131,71.8
20085,Kansas,Jackson County,2022-01-15,2171.44,5.2,10,9.2,10.5,13171,0.09405169729056369,2022-01-15,Kansas,KS,Jackson County,71.6,78.4,0.7973568281938326,71.8
20107,Kansas,Linn County,2022-01-15,2648.67,11,16.5,9.2,10.5,9703,0.0339458112737465,2022-01-15,Kansas,KS,Linn County,39.1,43.8,0.0922173274596182,71.8
20119,Kansas,Meade County,2022-01-15,2281.18,12.9,12.2,9.2,10.5,4033,0.07069448769853628,2022-01-15,Kansas,KS,Meade County,46.5,60.3,0.21938325991189428,71.8
20127,Kansas,Morris County,2022-01-15,2330.96,9.1,9.4,9.2,10.5,5620,0.06477732793522267,2022-01-15,Kansas,KS,Morris County,61.8,68.2,0.6246696035242291,71.8
20173,Kansas,Sedgwick County,2022-01-15,2230.24,10.9,14,9.2,10.5,516042,0.07723450638430396,2022-01-15,Kansas,KS,Sedgwick County,59.2,73.6,0.55712187958884,71.8
20209,Kansas,Wyandotte County,2022-01-15,2635.57,18.5,20.1,9.2,10.5,165429,0.03519152911865463,2022-01-15,Kansas,KS,Wyandotte County,64,76.9,0.6763582966226138,71.8
22005,Louisiana,Ascension Parish,2022-01-15,2337.21,7.5,11.6,9.2,10.5,126604,0.06384303955154158,2022-01-15,Louisiana,LA,Ascension Parish,58.4,64.8,0.5342143906020558,71.8
22015,Louisiana,Bossier Parish,2022-01-15,2615.73,8.6,16.4,9.2,10.5,127039,0.03643724696356275,2022-01-15,Louisiana,LA,Bossier Parish,55.3,63.8,0.4604992657856094,71.8
22033,Louisiana,East Baton Rouge Parish,2022-01-15,2665.1,9.4,18.3,9.2,10.5,440059,0.03270009342883837,2022-01-15,Louisiana,LA,East Baton Rouge Parish,62.7,70.6,0.6469897209985316,71.8
22037,Louisiana,East Feliciana Parish,2022-01-15,2942.25,9.5,19.4,9.2,10.5,19135,0.02273435066957334,2022-01-15,Louisiana,LA,East Feliciana Parish,43.5,48,0.15829662261380323,71.8
22075,Louisiana,Plaquemines Parish,2022-01-15,2362.37,8.8,19.5,9.2,10.5,23197,0.06041731547804422,2022-01-15,Louisiana,LA,Plaquemines Parish,71,81.6,0.7897209985315712,71.8
22119,Louisiana,Webster Parish,2022-01-15,2211.79,9.7,26.3,9.2,10.5,38340,0.0815945188414824,2022-01-15,Louisiana,LA,Webster Parish,48.2,54.7,0.2637298091042584,71.8
22121,Louisiana,West Baton Rouge Parish,2022-01-15,2274.7,9.3,15.7,9.2,10.5,26465,0.07256306446589847,2022-01-15,Louisiana,LA,West Baton Rouge Parish,61.3,67.6,0.6111600587371513,71.8
22127,Louisiana,Winn Parish,2022-01-15,2287.11,12.8,23.8,9.2,10.5,13904,0.07007162877608222,2022-01-15,Louisiana,LA,Winn Parish,51.1,56.8,0.337151248164464,71.8
24019,Maryland,Dorchester County,2022-01-15,2339.57,5.5,15.8,9.2,10.5,31929,0.0632201806290875,2022-01-15,Maryland,MD,Dorchester County,64.1,71.5,0.6798825256975036,71.8
